ochdad,163,
had,163,
bean,162,
tìr-mòr,162,
gnothaichean,162,
beul,161,
chuireadh,161,
cead,161,
thuige,161,
stiùbhart,160,
aodach,160,
eun,160,
ghabhas,160,
fiosrachadh,160,
catriona,160,
tug,159,
an-ath-sheachdain,159,
cheannach,159,
new,159,
innes,159,
aithne,158,
fon,158,
follaiseach,158,
choltais,157,
because,157,
sìde,157,
th,157,
guth,156,
sear,155,
boireannaich,155,
ìm,155,
làrach,155,
tharraing,155,
fèis,155,
uimhir,155,
one,155,
nicilleathain,155,
sasainn,154,
slàn,154,
sgilean,154,
tarraing,154,
siubhal,154,
bhruidhinn,154,
tachartas,154,
seonag,154,
seanfhacal,153,
ros,153,
blas,153,
dia,153,
sreath,153,
mhotha,153,
maclaomainn,153,
chladach,152,
fhasa,152,
he,152,
còir,151,
chruthachadh,151,
dh’fheuch,151,
cuireadh,151,
disathairne,151,
been,151,
tadhal,150,
leugh,150,
eòrpa,150,
tioram,150,
nàdar,150,
taighe,150,
bochd,150,
coinneachadh,150,
lusan,149,
trithead,149,
measail,149,
saoilidh,149,
dàn,149,
sgoiltean,149,
teagaisg,149,
prìomh,148,
millean,148,
seasamh,147,
oifigeil,147,
dh’inns,146,
faigheadh,146,
would,146,
bonn,145,
ath-sheachdain,145,
sgoile,145,
ainmean-àite,144,
mhàiri,144,
cuimhneachadh,144,
eadar-theangachadh,144,
dh’aindeoin,144,
goireasan,144,
bhuidheann,144,
marbh,144,
soilleir,143,
rìoghail,143,
dhith,142,
chois,142,
broinn,142,
rìoghachd,142,
mur,142,
our,142,
chlach,141,
ud,141,
innis,141,
phròiseact,141,
eaglaise,141,
balaich,141,
lodair,141,
dh’alba,140,
ionadail,140,
ghleann,140,
dona,140,
sìon,140,
more,140,
iongnadh,139,
chòrr,139,
cheannaich,139,
buidhnean,139,
chogadh,138,
bailtean,138,
taigh-tasgaidh,138,
eich,137,
trom,137,
cupa,137,
prionnsa,137,
fir,137,
samhraidh,137,
crodh,137,
planaichean,137,
òigridh,137,
what,137,
angela,137,
